Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,Readout_length_ns,ID_error_,One,One_pred,RSE
95,286.49962326511087,103.2203495035582,4.837407423620512,0.093505859375,0.09912109375,0.087890625,1300,0.1409191990876551,236.0,845,370881.0
96,369.01665638079805,55.3450800967242,4.747924464403282,0.040283203125,0.04248046875,0.0380859375,1300,0.0002002017128022,747.0,445,91204.0
97,299.8057543446753,132.53451306027102,4.816160234009849,0.0078125,0.0068359375,0.0087890625,1300,0.0001447638749022,79.0,169,8100.0
98,249.8474682851277,101.28597057945264,4.9428888008749405,0.015869140625,0.02294921875,0.0087890625,1300,0.0003917934236459,188.0,220,1024.0
99,227.1483610246714,232.0744651834694,5.0601142131937165,0.018798828125,0.00927734375,0.0283203125,1300,0.0002008725467345,149.0,235,7396.0
100,134.67101892516135,164.77310224013786,4.905355284670057,0.0166015625,0.025390625,0.0078125,1300,0.0002771344479733,150.0,194,1936.0
101,135.95000164069512,16.53249709060755,5.065348079879698,0.028564453125,0.0126953125,0.04443359375,1300,0.0005686787677039,91.0,287,38416.0
102,57.55329942204007,208.31533572010892,4.809683679078925,0.039794921875,0.0390625,0.04052734375,1300,0.0002340217689006,656.0,357,89401.0
103,198.4606835933232,83.18604229317074,4.933452050102292,0.006591796875,0.005859375,0.00732421875,1300,0.0001961809678046,110.0,132,484.0
104,217.87144294052865,236.5433584164536,4.765566138874625,0.0107421875,0.0107421875,0.0107421875,1300,0.0002412125123929,175.0,170,25.0
105,216.28278501879788,100.27929490683522,4.982201106905313,0.0087890625,0.0107421875,0.0068359375,1300,0.0004388264308688,97.0,154,3249.0
106,226.97818953536924,152.42102070983069,4.878178805636964,0.024169921875,0.01904296875,0.029296875,1300,0.0001554669847416,128.0,278,22500.0
107,239.1188375420781,71.48880800991235,4.916033222401378,0.01806640625,0.02294921875,0.01318359375,1300,0.0003195671696647,433.0,234,39601.0
108,205.6021729266776,203.64582790339333,5.056205483163636,0.01953125,0.01318359375,0.02587890625,1300,0.0002201849390655,212.0,236,576.0
