Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
186,93,215.8892853497738,79.90083923981386,0.0276999999999999,0.0236,0.0318,0.0005276868072761,2.3584464330327966e-06,19528,20472,0,944,1155,44521
187,93,208.8064350474501,79.69794854218176,0.027099609375,0.0302734375,0.02392578125,0.0004415083262688,3.8432002401549984e-11,19339,20661,0,1322,1047,75625
188,94,107.6662257157059,109.0572171857484,0.027587890625,0.01171875,0.04345703125,0.0004098027095689,4.1115778187990477e-11,19340,20660,0,1320,1293,729
189,94,147.25048801025196,144.39227157562428,0.0161,0.0106,0.0216,0.0002024193933372,0.0006738585313537,19660,20340,0,680,774,8836
190,95,286.49962326511087,103.2203495035582,0.093505859375,0.09912109375,0.087890625,0.1409191990876551,0.0,4027,35973,0,31946,3298,820707904
191,95,143.7657535188557,118.82703956194474,0.02,0.0312,0.0088,0.0001447691368551,3.235140758374751e-106,22189,17811,0,4378,707,13476241
192,96,369.01665638079805,55.3450800967242,0.040283203125,0.04248046875,0.0380859375,0.0002002017128022,0.7641771556220948,20030,19970,1,60,1512,2108304
193,96,228.87116708904324,72.95128224031035,0.0393999999999999,0.042,0.0368,0.0002230231511524,0.5961119307897529,20053,19947,1,106,1476,1876900
194,97,159.0019679950308,129.27859885034258,0.0073999999999999,0.0072,0.0076,0.0003432930003623,0.1260167289279568,20153,19847,1,306,411,11025
195,97,299.8057543446753,132.53451306027102,0.0078125,0.0068359375,0.0087890625,0.0001447638749022,8.067706097895153e-13,19284,20716,0,1432,435,994009
196,98,208.8143694550976,99.75627170274257,0.013,0.015,0.011,0.0005311546359258,0.0054358898454025,20278,19722,0,556,577,441
197,98,249.8474682851277,101.28597057945264,0.015869140625,0.02294921875,0.0087890625,0.0003917934236459,0.0008684598407633,19667,20333,0,666,615,2601
198,99,197.71476560255968,278.00509216263987,0.019,0.0066,0.0314,0.0002702023435275,4.9157301236160635e-09,19415,20585,0,1170,956,45796
199,99,227.1483610246714,232.0744651834694,0.018798828125,0.00927734375,0.0283203125,0.0002008725467345,5.1499430760238224e-18,19135,20865,0,1730,915,664225
200,100,134.67101892516135,164.77310224013786,0.0166015625,0.025390625,0.0078125,0.0002771344479733,0.0340060452952656,20212,19788,1,424,619,38025
201,100,188.1654929308478,193.18175073307128,0.0262,0.0114,0.041,0.0001749579935667,0.2186971048513838,20123,19877,1,246,1232,972196
202,101,210.0455567490361,244.73933990054283,0.0215999999999999,0.0084,0.0348,0.0001618848502345,1.1445972126542469e-18,19118,20882,0,1764,1055,502681
203,101,135.95000164069512,16.53249709060755,0.028564453125,0.0126953125,0.04443359375,0.0005686787677039,5.761823381301729e-17,19163,20837,0,1674,1327,120409
204,102,57.55329942204007,208.3153357201089,0.039794921875,0.0390625,0.04052734375,0.0002340217689006,1.7867311825654013e-05,19571,20429,0,858,1530,451584
205,102,135.62054724379863,174.62068335337415,0.0423999999999999,0.0544,0.0304,0.0003127237137338,1.0587090772909524e-20,20933,19067,0,1866,1466,160000
206,103,160.85838475882005,78.14875245229138,0.0069,0.0086,0.0052,0.0002503687812065,0.920344325445942,20010,19990,1,20,371,123201
207,103,198.4606835933232,83.18604229317074,0.006591796875,0.005859375,0.00732421875,0.0001961809678046,0.044431188858863,19799,20201,1,402,390,144
208,104,217.87144294052865,236.5433584164536,0.0107421875,0.0107421875,0.0107421875,0.0002412125123929,8.583637417235957e-11,19351,20649,0,1298,524,599076
209,104,248.6474296469173,233.0899161394757,0.0191,0.0244,0.0138,0.0005592337800378,4.701313773719112e-05,20407,19593,0,814,747,4489
